station,valid,tmpc,relh,drct,sknt,mslp,p01m
AMW,2019-01-01 07:35,M,M,330.00,15.00,M,M
AMW,2019-01-01 07:40,M,M,330.00,16.00,M,M
AMW,2019-01-01 07:45,M,M,330.00,13.00,M,M
AMW,2019-01-01 07:50,M,M,330.00,15.00,M,M
AMW,2019-01-01 07:53,-8.89,79.92,340.00,15.00,1025.00,0.00
AMW,2019-01-01 07:55,M,M,320.00,15.00,M,M
AMW,2019-01-01 08:00,M,M,330.00,14.00,M,M
AMW,2019-01-01 08:05,M,M,330.00,17.00,M,M
AMW,2019-01-01 08:10,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:15,M,M,330.00,15.00,M,M
AMW,2019-01-01 08:20,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:25,M,M,M,18.00,M,M
AMW,2019-01-01 08:30,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:35,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:40,M,M,330.00,13.00,M,M
AMW,2019-01-01 08:45,M,M,330.00,16.00,M,M
AMW,2019-01-01 08:50,M,M,330.00,13.00,M,M
AMW,2019-01-01 08:53,-10.00,80.10,330.00,16.00,1026.50,0.00
AMW,2019-01-01 08:55,M,M,330.00,12.00,M,M
AMW,2019-01-01 09:00,M,M,330.00,16.00,M,M
AMW,2019-01-01 09:05,M,M,330.00,13.00,M,M
AMW,2019-01-01 09:10,M,M,330.00,12.00,M,M
AMW,2019-01-01 09:15,M,M,330.00,13.00,M,M
AMW,2019-01-01 09:20,M,M,330.00,15.00,M,M
AMW,2019-01-01 09:25,M,M,330.00,15.00,M,M
AMW,2019-01-01 09:30,M,M,330.00,14.00,M,M
AMW,2019-01-01 09:35,M,M,330.00,12.00,M,M
AMW,2019-01-01 09:40,M,M,330.00,12.00,M,M
AMW,2019-01-01 09:45,M,M,320.00,14.00,M,M
AMW,2019-01-01 09:50,M,M,310.00,13.00,M,M
AMW,2019-01-01 09:53,-10.61,80.74,330.00,13.00,1027.20,0.00
AMW,2019-01-01 09:55,M,M,340.00,12.00,M,M
AMW,2019-01-01 10:00,M,M,340.00,15.00,M,M
AMW,2019-01-01 10:05,M,M,330.00,16.00,M,M
AMW,2019-01-01 10:10,M,M,340.00,15.00,M,M
AMW,2019-01-01 10:15,M,M,330.00,16.00,M,M
AMW,2019-01-01 10:20,M,M,320.00,16.00,M,M
AMW,2019-01-01 10:25,M,M,320.00,14.00,M,M
AMW,2019-01-01 10:35,M,M,310.00,16.00,M,M
AMW,2019-01-01 10:40,M,M,310.00,15.00,M,M
AMW,2019-01-01 10:45,M,M,320.00,14.00,M,M
AMW,2019-01-01 10:50,M,M,320.00,15.00,M,M
AMW,2019-01-01 10:53,-11.72,80.57,320.00,13.00,1028.10,0.00
AMW,2019-01-01 10:55,M,M,320.00,14.00,M,M
AMW,2019-01-01 11:00,M,M,340.00,14.00,M,M
AMW,2019-01-01 11:05,M,M,320.00,13.00,M,M
AMW,2019-01-01 11:10,M,M,320.00,16.00,M,M
AMW,2019-01-01 11:15,M,M,310.00,13.00,M,M
AMW,2019-01-01 11:20,M,M,320.00,15.00,M,M
AMW,2019-01-01 11:25,M,M,340.00,12.00,M,M
AMW,2019-01-01 11:35,M,M,320.00,11.00,M,M
AMW,2019-01-01 11:40,M,M,330.00,14.00,M,M
AMW,2019-01-01 11:45,M,M,330.00,15.00,M,M
AMW,2019-01-01 11:50,M,M,330.00,13.00,M,M
AMW,2019-01-01 11:53,-11.72,76.62,320.00,13.00,1028.80,0.00
AMW,2019-01-01 11:55,M,M,320.00,11.00,M,M
AMW,2019-01-01 12:00,M,M,320.00,13.00,M,M
AMW,2019-01-01 12:05,M,M,320.00,12.00,M,M
AMW,2019-01-01 12:10,M,M,320.00,13.00,M,M
AMW,2019-01-01 12:15,M,M,320.00,12.00,M,M
AMW,2019-01-01 12:20,M,M,320.00,14.00,M,M
AMW,2019-01-01 12:25,M,M,330.00,14.00,M,M
AMW,2019-01-01 12:30,M,M,320.00,12.00,M,M
AMW,2019-01-01 12:35,M,M,320.00,15.00,M,M
AMW,2019-01-01 12:40,M,M,330.00,15.00,M,M
AMW,2019-01-01 12:45,M,M,330.00,15.00,M,M
AMW,2019-01-01 12:50,M,M,320.00,11.00,M,M
AMW,2019-01-01 12:53,-11.72,76.62,320.00,13.00,1030.10,0.00
AMW,2019-01-01 12:55,M,M,330.00,12.00,M,M
AMW,2019-01-01 13:00,M,M,320.00,11.00,M,M
AMW,2019-01-01 13:05,M,M,320.00,16.00,M,M
AMW,2019-01-01 13:10,M,M,320.00,14.00,M,M
AMW,2019-01-01 13:15,M,M,330.00,14.00,M,M
AMW,2019-01-01 13:20,M,M,330.00,11.00,M,M
AMW,2019-01-01 13:25,M,M,330.00,13.00,M,M
AMW,2019-01-01 13:30,M,M,320.00,11.00,M,M
AMW,2019-01-01 13:35,M,M,320.00,12.00,M,M
AMW,2019-01-01 13:40,M,M,330.00,10.00,M,M
AMW,2019-01-01 13:45,M,M,320.00,15.00,M,M
AMW,2019-01-01 13:50,M,M,320.00,16.00,M,M
AMW,2019-01-01 13:53,-12.78,76.08,340.00,14.00,1030.70,0.00
AMW,2019-01-01 13:55,M,M,330.00,13.00,M,M
AMW,2019-01-01 14:00,M,M,320.00,12.00,M,M
AMW,2019-01-01 14:05,M,M,330.00,11.00,M,M
AMW,2019-01-01 14:15,M,M,330.00,14.00,M,M
AMW,2019-01-01 14:20,M,M,340.00,13.00,M,M
AMW,2019-01-01 14:25,M,M,340.00,14.00,M,M
AMW,2019-01-01 14:30,M,M,340.00,14.00,M,M
AMW,2019-01-01 14:35,M,M,330.00,13.00,M,M
AMW,2019-01-01 14:40,M,M,340.00,13.00,M,M
AMW,2019-01-01 14:42,-13.28,75.29,330.00,11.00,M,0.00
AMW,2019-01-01 14:50,M,M,330.00,15.00,M,M
AMW,2019-01-01 14:53,-13.89,79.13,330.00,12.00,1031.70,0.00
AMW,2019-01-01 15:05,M,M,330.00,14.00,M,M
AMW,2019-01-01 15:10,M,M,330.00,12.00,M,M
AMW,2019-01-01 15:15,M,M,330.00,11.00,M,M
AMW,2019-01-01 15:20,M,M,340.00,10.00,M,M
AMW,2019-01-01 15:25,M,M,320.00,11.00,M,M
AMW,2019-01-01 15:30,M,M,330.00,10.00,M,M
AMW,2019-01-01 15:35,M,M,330.00,10.00,M,M
AMW,2019-01-01 15:40,M,M,330.00,11.00,M,M
AMW,2019-01-01 15:45,M,M,320.00,9.00,M,M
AMW,2019-01-01 15:50,M,M,340.00,10.00,M,M
AMW,2019-01-01 15:53,-12.78,76.08,340.00,10.00,1032.00,0.00
AMW,2019-01-01 15:55,M,M,340.00,9.00,M,M
AMW,2019-01-01 16:00,M,M,340.00,11.00,M,M
AMW,2019-01-01 16:05,M,M,330.00,10.00,M,M
AMW,2019-01-01 16:10,M,M,330.00,11.00,M,M
AMW,2019-01-01 16:15,M,M,330.00,11.00,M,M
AMW,2019-01-01 16:20,M,M,340.00,10.00,M,M
AMW,2019-01-01 16:25,M,M,330.00,10.00,M,M
AMW,2019-01-01 16:30,M,M,350.00,9.00,M,M
AMW,2019-01-01 16:35,M,M,340.00,12.00,M,M
AMW,2019-01-01 16:40,M,M,340.00,8.00,M,M
AMW,2019-01-01 16:45,M,M,330.00,9.00,M,M
AMW,2019-01-01 16:50,M,M,320.00,11.00,M,M
AMW,2019-01-01 16:53,-11.72,72.85,320.00,8.00,1031.90,0.00
AMW,2019-01-01 17:00,M,M,340.00,7.00,M,M
AMW,2019-01-01 17:05,M,M,350.00,11.00,M,M
AMW,2019-01-01 17:10,M,M,320.00,10.00,M,M
AMW,2019-01-01 17:15,M,M,320.00,9.00,M,M
AMW,2019-01-01 17:20,M,M,340.00,8.00,M,M
AMW,2019-01-01 17:25,M,M,330.00,8.00,M,M
AMW,2019-01-01 17:30,M,M,330.00,10.00,M,M
AMW,2019-01-01 17:35,M,M,340.00,9.00,M,M
AMW,2019-01-01 17:40,M,M,330.00,7.00,M,M
AMW,2019-01-01 17:45,M,M,330.00,8.00,M,M
AMW,2019-01-01 17:53,-11.11,72.97,310.00,7.00,1031.80,0.00
AMW,2019-01-01 17:55,M,M,310.00,8.00,M,M
AMW,2019-01-01 18:00,M,M,290.00,8.00,M,M
AMW,2019-01-01 18:05,M,M,300.00,8.00,M,M
AMW,2019-01-01 18:10,M,M,330.00,9.00,M,M
AMW,2019-01-01 18:15,M,M,340.00,6.00,M,M
AMW,2019-01-01 18:20,M,M,330.00,7.00,M,M
AMW,2019-01-01 18:25,M,M,310.00,8.00,M,M
AMW,2019-01-01 18:30,M,M,310.00,7.00,M,M
AMW,2019-01-01 18:45,M,M,330.00,8.00,M,M
AMW,2019-01-01 18:50,M,M,330.00,8.00,M,M
AMW,2019-01-01 18:53,-10.00,73.19,330.00,8.00,1030.60,0.00
AMW,2019-01-01 18:55,M,M,320.00,8.00,M,M
AMW,2019-01-01 19:00,M,M,330.00,8.00,M,M
AMW,2019-01-01 19:04,-10.00,73.19,340.00,10.00,M,0.00
AMW,2019-01-01 19:05,M,M,330.00,10.00,M,M
AMW,2019-01-01 19:10,M,M,300.00,10.00,M,M
AMW,2019-01-01 19:20,M,M,330.00,10.00,M,M
AMW,2019-01-01 19:25,M,M,320.00,9.00,M,M
AMW,2019-01-01 19:30,M,M,310.00,9.00,M,M
AMW,2019-01-01 19:35,M,M,330.00,10.00,M,M
AMW,2019-01-01 19:40,M,M,340.00,10.00,M,M
AMW,2019-01-01 19:45,M,M,330.00,11.00,M,M
AMW,2019-01-01 19:50,M,M,340.00,9.00,M,M
AMW,2019-01-01 19:53,-9.39,69.75,330.00,9.00,1029.70,0.00
AMW,2019-01-01 19:55,M,M,330.00,9.00,M,M
AMW,2019-01-01 20:00,M,M,320.00,10.00,M,M
AMW,2019-01-01 20:02,-9.39,69.75,330.00,8.00,M,0.00
AMW,2019-01-01 20:05,M,M,330.00,8.00,M,M
AMW,2019-01-01 20:10,M,M,310.00,7.00,M,M
AMW,2019-01-01 20:12,-9.39,73.31,320.00,6.00,M,0.00
AMW,2019-01-01 20:15,M,M,320.00,6.00,M,M
AMW,2019-01-01 20:20,M,M,300.00,5.00,M,M
AMW,2019-01-01 20:25,M,M,350.00,7.00,M,M
AMW,2019-01-01 20:35,M,M,340.00,7.00,M,M
AMW,2019-01-01 20:40,M,M,340.00,5.00,M,M
AMW,2019-01-01 20:45,M,M,350.00,6.00,M,M
AMW,2019-01-01 20:50,M,M,330.00,6.00,M,M
AMW,2019-01-01 20:53,-8.89,70.50,M,6.00,1030.40,0.00
AMW,2019-01-01 21:00,M,M,320.00,5.00,M,M
AMW,2019-01-01 21:05,M,M,300.00,7.00,M,M
AMW,2019-01-01 21:20,M,M,300.00,7.00,M,M
AMW,2019-01-01 21:24,-9.39,73.31,310.00,7.00,M,0.00
AMW,2019-01-01 21:25,M,M,320.00,6.00,M,M
AMW,2019-01-01 21:30,M,M,350.00,6.00,M,M
AMW,2019-01-01 21:35,M,M,340.00,7.00,M,M
AMW,2019-01-01 21:40,M,M,330.00,5.00,M,M
AMW,2019-01-01 21:50,M,M,340.00,3.00,M,M
